Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
lamp_grab_d14c4ec2		She freezes, then turns to look me in the eye.	game/script files/1_bookstore.rpy	182	"[what]"
lamp_grab_36e6c337		Her face is so close. Her eyes are a warm brown that reminds me of hot chocolate, or perhaps the old walnut table upstairs. It's a familiar, comfortable shade.	game/script files/1_bookstore.rpy	184	"[what]"
lamp_freeze_4ac4678c		It takes my brain a moment to catch up to what's happening, and by the time I realize what she's doing, it's too late.	game/script files/1_bookstore.rpy	193	"[what]"
lamp_freeze_5407ed1a		The girl quickly piles the broken shards and hisses in pain when one odd-angled piece slices a shallow line across her finger.	game/script files/1_bookstore.rpy	195	"[what]"
lamp_freeze_556f3d93	a	"Wait, stop,"	game/script files/1_bookstore.rpy	197	a neutral "[what]"
lamp_freeze_d43ab90f		She doesn't stop.	game/script files/1_bookstore.rpy	199	"[what]"
lamp_freeze_22d01b53	a	"Stop!"	game/script files/1_bookstore.rpy	201	a tsuntsun "[what]"
lamp_freeze_4cb6fcb6		Finally, she stops fiddling with the broken shards. She clutches her bleeding finger and looks up at me.	game/script files/1_bookstore.rpy	203	"[what]"
deal_8dd90f47	e	"It was an accident, but I broke it. So I should fix it."	game/script files/2_deal.rpy	5	e neutral "[what]"
deal_08af55a5		She says it with conviction. You let go of her and cross your arms.	game/script files/2_deal.rpy	7	"[what]"
deal_b53035ab	a	"And how are you going to fix it? By picking up broken glass with your bare hands?"	game/script files/2_deal.rpy	9	a gloom "[what]"
deal_0d9f1b69	e	She blushes.	game/script files/2_deal.rpy	11	e blush "[what]"
deal_564064dc	e	"Let me pay you for it, then."	game/script files/2_deal.rpy	13	e happy "[what]"
deal_5b0ddbcd	a	"It's not something I can replace that easily."	game/script files/2_deal.rpy	15	a gloom "[what]"
deal_919f213b	e	"Humor me, how much?"	game/script files/2_deal.rpy	17	e "[what]"
deal_332592d3		You snort and give her a number. Her eyes bulge.	game/script files/2_deal.rpy	19	"[what]"
deal_971ac41d	e	"I-I, uh, I can't pay that now but let me write you an IOU. And, um... I can leave something as collateral... does that work...?"	game/script files/2_deal.rpy	21	e shocked "[what]"
deal_0073d3db	a	"First, what's your name?"	game/script files/2_deal.rpy	23	a happy "[what]"
deal_3f561bc0	e	"Oh, right. I'm Erin. Erin Prammale! And you are...?"	game/script files/2_deal.rpy	25	e excited "[what]"
deal_0d496241	a	"You can call me Aya."	game/script files/2_deal.rpy	27	a "[what]"
deal_2e8ca6ff		You step gingerly past the lamp to grab the broom and dustpan from an alcove next to the front door and hand her the implements.	game/script files/2_deal.rpy	29	"[what]"
deal_7f346645	a	"You could start by sweeping up all these pieces. Try not to miss any! I actually do have an idea for how we could fix it, but we'll need as many of the pieces as possible."	game/script files/2_deal.rpy	31	a excited "[what]"
deal_db6581b6	e	Erin looks doubtful.	game/script files/2_deal.rpy	33	e neutral "[what]"
deal_78a3ec1a	e	"Really...?"	game/script files/2_deal.rpy	35	e neutral "[what]"
lamp_freeze_bandage_d0d1dc47	a	"Oh, first we should clean up that cut before it gets any worse."	game/script files/2_deal.rpy	51	a neutral "[what]"
lamp_freeze_bandage_cde5a46c	e	"Thank you, I'm sorry for the trouble."	game/script files/2_deal.rpy	53	e gloom "[what]"
lamp_freeze_bandage_2a285bf1		You flick off the neon OPEN sign at the front door, grabbing a dry erase marker to scribble out a note that says "Back at 12:45", which you stick to the front door itself.	game/script files/2_deal.rpy	55	"[what]"
lamp_freeze_bandage_c8aa62ee		You both quickly wash your hands at the bathroom sink and return to the front counter. You reach under it and pull out a first aid kit, removing iodine, gauze, tweezers, and a small bandage.	game/script files/2_deal.rpy	57	"[what]"
lamp_freeze_bandage_681376e0		She winces as you press the iodine-soaked gauze into the wound but does not pull away. It only takes a minute to finish treating and bandaging the cut.	game/script files/2_deal.rpy	59	"[what]"
lamp_freeze_bandage_5c70052c	a	"This shouldn't leave a scar, just be sure to keep it clean and dry."	game/script files/2_deal.rpy	61	a sad "[what]"
lamp_freeze_bandage_606d414e	e	"Thank you, Aya."	game/script files/2_deal.rpy	63	e blush "[what]"
lamp_freeze_bandage_c01ceb5d		For some reason, you really like the sound of your name from her lips.	game/script files/2_deal.rpy	65	"[what]"
lamp_freeze_bandage_b406c4e3	a	(What am I thinking?)	game/script files/2_deal.rpy	67	a tsuntsun "[what]"
lamp_freeze_bandage_555541ba		You shake your head and clear your throat softly.	game/script files/2_deal.rpy	69	"[what]"
lamp_freeze_bandage_8c40995e	a	"Okay. Let's get that glass cleaned up before any more visitors come in. I'll... move the peaches, too."	game/script files/2_deal.rpy	71	a tsuntsun "[what]"
deal_cont_980fe205		You pop into the back to find a bucket.	game/script files/2_deal.rpy	77	"[what]"
deal_cont_ee9e74e2	a	"Put the pieces in this. I'm going to go look something up."	game/script files/2_deal.rpy	79	a neutral "[what]"
deal_cont_bccef63d		As Erin collects the pieces, you fetch the address book from the front counter and flip through it. "Book" is a generous descriptor for this mishmash.	game/script files/2_deal.rpy	81	"[what]"
deal_cont_3529b5a5		It's a huge leather binder that's been stuffed full of additional sheaves of paper, parchment, newspaper ad clippings, and even some pressed leaves inscribed with nearly illegible writings.	game/script files/2_deal.rpy	83	"[what]"
deal_cont_54e002ea		These are notes, contacts, fliers, and advertisements from all manner of local business, both human and spirit. Your parents added their notes when they took over the shop, and you've added a few of your own over the years.	game/script files/2_deal.rpy	85	"[what]"
deal_cont_aab251a7	a	(There must be somebody in here who could fix the lamp.)	game/script files/2_deal.rpy	87	a neutral "[what]"
deal_cont_65b187c0		The bookshop's vibey music is accented by the sounds of pages flipping and glass pieces clinking as Erin sweeps them up.	game/script files/2_deal.rpy	94	"[what]"
deal_cont_9d2dac18	e	"Hey, Aya?"	game/script files/2_deal.rpy	96	e neutral "[what]"
deal_cont_4600b2e7		(There! I've got it!)	game/script files/2_deal.rpy	98	"[what]"
deal_cont_c7953f09		I pin a no-longer-sticky sticky note with an index finger so the little fan doesn't blow it away while I write in thick marker on a blank page from a nearby notebook. I reply distractedly,	game/script files/2_deal.rpy	100	"[what]"
deal_cont_2328f8ec	a	"Yeah?"	game/script files/2_deal.rpy	102	a neutral "[what]"
deal_cont_f593636c		Erin walks over, setting the bucket of lamp pieces on the countertop. She brushes a few loose strands of hair from her face, tucking them behind her ears, then bends to the counter to prop her weight up on her elbows.	game/script files/2_deal.rpy	104	"[what]"
deal_cont_26c38252	e	"Whatever solution you're thinking of had better be magic, because I don't know anyone who could put together all those tiny pieces in a way that fits right. It's pretty busted."	game/script files/2_deal.rpy	106	e gloom "[what]"
deal_cont_26b911db		Her voice is hesitant and full of regret.	game/script files/2_deal.rpy	108	"[what]"
deal_cont_fee8b366	a	"Well, you're right about that."	game/script files/2_deal.rpy	110	a sad "[what]"
deal_cont_4169d6dd		I finish writing the last few words and sign the bottom of the page with a flourish before sliding the sheet over to Erin.	game/script files/2_deal.rpy	113	"[what]"
deal_cont_d701b5db		She peers at the page, brows furrowed cutely in concentration.	game/script files/2_deal.rpy	117	"[what]"
deal_cont_47c8aebf	e	"What's this? Is this... a contract?"	game/script files/2_deal.rpy	119	e neutral "[what]"
deal_cont_5a0e4fd0		My mouth curls into a tiny smile, and my tone is light when I explain.	game/script files/2_deal.rpy	121	"[what]"
deal_cont_15356d54	a	"It's just something simple. Sign it with your name and it will mean you can accompany me to the Lost Market."	game/script files/2_deal.rpy	123	a neutral "[what]"
deal_cont_ce7e0ad9	a	"We should be able to find a spell that fixes lamps there, and I don't intend to be the one who pays for it."	game/script files/2_deal.rpy	125	a happy "[what]"
deal_cont_d779e269		Erin gulps.	game/script files/2_deal.rpy	127	"[what]"
deal_cont_a8606894	e	"What do I have to pay with? Is it... do I have to pay with, like, blood? Or years off my life? Or my firstborn child? Or—	game/script files/2_deal.rpy	129	e shocked "[what]"
deal_cont_5e1d512b		I interrupt before her imagination takes her farther into a spiral.	game/script files/2_deal.rpy	131	"[what]"
deal_cont_2a80700d	a	"No, no, nothing like that. Just regular money. Most spirits in the modern era use human currency to keep things simple,"	game/script files/2_deal.rpy	133	a excited "[what]"
deal_cont_5576a8b0	a	"...though it's possible to find the odd esoteric spirit who wants weird ingredients, favors, or labor as their exchange rate."	game/script files/2_deal.rpy	135	a "[what]"
deal_cont_6c013fa4	a	"But whatever the cost, nothing is ever free."	game/script files/2_deal.rpy	137	a gloom "[what]"
deal_cont_6511e6ee	e	"So you want me to go with you to the spirit world?	game/script files/2_deal.rpy	139	e neutral "[what]"
deal_cont_b7e9a120	a	"It's not really the Other Side, which is what you're referring to. It's more of a liminal space between the two worlds."	game/script files/2_deal.rpy	141	a neutral "[what]"
deal_cont_3b1a38c1	a	"It's easy to travel between worlds through the market as long as you've made a deal before you go. If you don't... the Lost Market keeps you until you do."	game/script files/2_deal.rpy	143	a "[what]"
deal_cont_e46ef9b2		I see the worried look on her face.	game/script files/2_deal.rpy	145	"[what]"
deal_cont_e3a04a5d	a	"Which won't be a problem, since we'll have a deal in place already!"	game/script files/2_deal.rpy	147	a excited "[what]"
deal_cont_377b1014	e	"O-okay! Will the spell cost the... the same amount you listed earlier? Because I don't think I can pay that..."	game/script files/2_deal.rpy	149	e blush "[what]"
deal_cont_b7ae5bc6	a	"Gods, no. It'll cost enough, and you'll be able to cover it. It's a magic thing."	game/script files/2_deal.rpy	151	a "[what]"
deal_cont_87d960ba		She waggles a finger at me.	game/script files/2_deal.rpy	153	"[what]"
deal_cont_853803ef	e	"You don't know just how broke I am. I'm a college student."	game/script files/2_deal.rpy	155	e gloom "[what]"
deal_cont_8f1626d5		My ear twitches and I shrug.	game/script files/2_deal.rpy	157	"[what]"
deal_cont_5ef67fa6	a	"It'll be fine! Anyway, if you're that broke you should probably pay better attention to your surroundings so you don't accidentally break peoples' stuff."	game/script files/2_deal.rpy	159	a happy "[what]"
deal_cont_5cc37e52		I'm mostly joking. We both know it wasn't really her fault. She takes it in stride.	game/script files/2_deal.rpy	161	"[what]"
deal_cont_84020dfb		She reads the contract very carefully, and I feel a sense of approval about the care she's taking. Always know what you're signing up for.	game/script files/2_deal.rpy	163	"[what]"
deal_cont_eb3656ff		She might be a bit clumsy, but she's not a fool. After a couple of minutes, she nods and sets the paper down.	game/script files/2_deal.rpy	165	"[what]"
deal_cont_2e6f44ce	e	"So when do we go?"	game/script files/2_deal.rpy	167	e excited "[what]"
deal_cont_1e6cc397		I tap a finger against the countertop and think it over.	game/script files/2_deal.rpy	169	"[what]"
deal_cont_0bb7b1de	a	"We should be able to go on the night of the autumn equinox. That's when it's pretty much guaranteed to show up. Any other time can be kind of hit or miss.	game/script files/2_deal.rpy	171	a shocked "[what]"
deal_cont_80ced909	e	"That's like, next month, right?"	game/script files/2_deal.rpy	173	e neutral "[what]"
deal_cont_23b4fc2f	a	"Yes, {color=#F87B4E}the evening of the 22nd{/color}. That a problem?"	game/script files/2_deal.rpy	175	a neutral "[what]"
deal_cont_0aae87a4		She pulls out her phone, presumably to check her calendar, and bites her lip. It's more distracting than I care to admit.	game/script files/2_deal.rpy	177	"[what]"
deal_cont_90304555	e	"It could be... but I said I'd fix your lamp, and that's a promise. I'll make it work. Can I borrow your pen?"	game/script files/2_deal.rpy	179	e happy "[what]"
deal_cont_9f27366f		I wordlessly pass her the marker, which has a plastic spoon taped to it. She takes it and signs the bottom of the page.	game/script files/2_deal.rpy	181	"[what]"
deal_cont_8271723b		With a whoosh, heatless golden flames trace the lines of ink and the page disappears.	game/script files/2_deal.rpy	190	"[what]"
deal_cont_bf3234ef		If we were on The Other Side, we'd be able to see the little red ribbon of promise that now connects us. But we're here, so we can't.	game/script files/2_deal.rpy	194	"[what]"
deal_cont_6c0eb854		Erin startles.	game/script files/2_deal.rpy	196	"[what]"
deal_cont_b9657a72	e	"What was that?"	game/script files/2_deal.rpy	198	e shocked "[what]"
deal_cont_27554dac		The surprise on a human's face when they see everyday magic never really gets old.	game/script files/2_deal.rpy	200	"[what]"
deal_cont_7f2d0e96	a	"It's not a trick or anything, that's just the pact being made! It links us. Think of it as a little magical insurance that automatically happens when spirits make agreements."	game/script files/2_deal.rpy	202	a blush "[what]"
deal_cont_03aff38a	a	"Basically, if you decide to bail, there will be a karmic consequence. This isn't a big pact, so even if you do decide to bail it won't be too drastic. But I still suggest you try to keep your word."	game/script files/2_deal.rpy	204	a neutral "[what]"
deal_cont_d5aee9a5		She nods and makes a note in her phone.	game/script files/2_deal.rpy	206	"[what]"
deal_cont_edd7438c	e	"Alright, that makes sense. Then... I guess I'll see you around? Oh wait, let me give you my number."	game/script files/2_deal.rpy	208	e happy "[what]"
deal_cont_530d7e66		I expect her to jot it down on the paper, but she confidently takes my wrist and writes the number there, the marker tickling my skin. She grins.	game/script files/2_deal.rpy	210	"[what]"
deal_cont_088d3713	e	"So you don't lose it!"	game/script files/2_deal.rpy	212	e rizzler "[what]"
deal_cont_30a16dd0		I blush furiously.	game/script files/2_deal.rpy	214	"[what]"
deal_cont_88c1ce8c		Erin rocks back on her heels and does a little spin, walking lightly to the door. Hand poised to open it, she looks back over her shoulder at me.	game/script files/2_deal.rpy	216	"[what]"
deal_cont_cc24ee81	e	"Bye, gorgeous!"	game/script files/2_deal.rpy	218	e excited "[what]"
deal_cont_c067e361		My heart skips a beat and I hesitate, not sure if she means that in an I-love-women way or a complimenting-between-girlies way.	game/script files/2_deal.rpy	220	"[what]"
deal_cont_5e5542d1		She notices the heat warming my cheeks. Before I can say anything in response, she ducks out of the store, giggling.	game/script files/2_deal.rpy	222	"[what]"
deal_cont_dd7934fd	a	"Wh... what...!"	game/script files/2_deal.rpy	224	a tsuntsun "[what]"
pursuit_0192f78d		The next week is much less eventful. The air is as humid as ever. The cicadas continue to play their summer soundtrack. Finally, a totally open weekend comes calling.	game/script files/3_cobblercornerstore.rpy	14	"[what]"
cobbler_e0f3d784		Fortunately, the peaches had sustained no damage at all during The Incident, and I'm able to whip up a couple of test cobblers.	game/script files/3_cobblercornerstore.rpy	33	"[what]"
cobbler_559f6c97		The local peaches aren't quite in season yet, so these are just some of the early bloomers that Joy at the orchard set aside for me.	game/script files/3_cobblercornerstore.rpy	35	"[what]"
cobbler_ff164c88		The cobblers aren't bad. They're not as sweet as I had hoped they'd be, but that makes sense since peach season starts next month. I should have accounted for the difference and adjusted my recipe, but this is good practice for the real thing!	game/script files/3_cobblercornerstore.rpy	37	"[what]"
cobbler_ca91709d		I divide the cobblers into plastic food storage bins and pack a small picnic basket with the bins I don't put in the fridge. Some of my older friends will probably love this.	game/script files/3_cobblercornerstore.rpy	39	"[what]"
orchardist_e1e79385		Joy and I have been friends for almost my whole life. She's been running the orchard for as long as I can remember, and is probably in her 60s now.	game/script files/3_cobblercornerstore.rpy	51	"[what]"
orchardist_19c4a191		We run into each other now and then, and we're friends on social media. She's a much more active poster than I am, and the extra marketing has been helpful for her orchard. People come from all over to pick peaches.	game/script files/3_cobblercornerstore.rpy	53	"[what]"
orchardist_86ef410d		(It's nearly time for peach picking to open up, but not quite yet!)	game/script files/3_cobblercornerstore.rpy	55	"[what]"
orchardist_b2c75412		Since she spends all her time managing the business, she doesn't tend to do a lot of baking. I try to bring her things once in a while to check in.	game/script files/3_cobblercornerstore.rpy	57	"[what]"
orchardist_b243b2b7		I take my bike to her office, which is a small two-story building at the very foot of the orchard's hills. Wind chimes hang from the stoop, and the sign on the door says OPEN. When I swing the door open and step inside, I'm greeted by a couple of my neighbors sipping coffee in the lobby.	game/script files/3_cobblercornerstore.rpy	59	"[what]"
orchardist_73124012	timothy	"Well hey there! You lookin' for Joy, by any chance?"	game/script files/3_cobblercornerstore.rpy	71	timothy "[what]"
orchardist_8d8b4e78	a	"Hey! Sure am."	game/script files/3_cobblercornerstore.rpy	73	a excited "[what]"
orchardist_b9d6f571	timothy	"She's out in the trees today."	game/script files/3_cobblercornerstore.rpy	75	timothy "[what]"
orchardist_8c34cdd8	a	"Oh! No problem, I'll just drop this off upstairs."	game/script files/3_cobblercornerstore.rpy	77	a happy "[what]"
orchardist_8f28e4d9		The gentlemen wave in acknowledgement. I and my cobbler-laden picnic basket take the stairs to the second floor break room.	game/script files/3_cobblercornerstore.rpy	81	"[what]"
orchardist_af8672a4		I borrow a sticky note from Joy's desk and jot down a note mentioning the cobbler, then put the cobbler in the break room fridge.	game/script files/3_cobblercornerstore.rpy	83	"[what]"
orchardist_9ebc19da		It's cozy, very lived-in for an administrative building. Joy's turned the downstairs into a social space with couches, bar counters, and plenty of plants so visitors and farmers alike have a place to relax out of the sun.	game/script files/3_cobblercornerstore.rpy	85	"[what]"
orchardist_2298f95e		Upstairs, however, has the must and dust of decades of unchanging use. It's where the real business happens.	game/script files/3_cobblercornerstore.rpy	87	"[what]"
orchardist_753e400e		I'm fixing my hair in an old mirror in the break room when I hear Joy approach.	game/script files/3_cobblercornerstore.rpy	89	"[what]"
orchardist_9f97f3a0	joy	"Aya! The boys told me someone was here for me, it's good to see you."	game/script files/3_cobblercornerstore.rpy	96	joy "[what]"
orchardist_f7f609d1	a	"It's good to see you too! I left you a note, there's peach cobbler in the fridge for you. Not too sweet."	game/script files/3_cobblercornerstore.rpy	98	a excited "[what]"
orchardist_1798e6fe	joy	"That's awful kind of you, thanks for thinking of me. I'll be sure to bring it home with me tonight."	game/script files/3_cobblercornerstore.rpy	100	joy "[what]"
orchardist_9ec63c86	a	"Putting in a full work day?"	game/script files/3_cobblercornerstore.rpy	102	a happy "[what]"
orchardist_dd23199c	joy	"The work never stops! And we're getting ready for picking season. How's the bookstore?"	game/script files/3_cobblercornerstore.rpy	104	joy "[what]"
orchardist_608b867e	a	"Not so good, at least not lately. Having a hard time getting customers."	game/script files/3_cobblercornerstore.rpy	106	a sad "[what]"
orchardist_f3708e54	joy	"Sorry to hear that, have you thought about doing more social media marketing?"	game/script files/3_cobblercornerstore.rpy	108	joy "[what]"
orchardist_39212818	a	"Joy, you sound like such a youngster when you say stuff like that. But you know I'm not as tech-savvy as you. And I don't know how well would work for a bookstore..."	game/script files/3_cobblercornerstore.rpy	110	a excited "[what]"
orchardist_5f9c06df	joy	"Ah, sorry, Aya. I didn't mean to go straight into giving you unsolicited advice. Let me know if there's anything I can do to help, okay? And take care of yourself, honey. You focus too much on work."	game/script files/3_cobblercornerstore.rpy	112	joy "[what]"
orchardist_e9a1a506		She takes my hand and pats it comfortingly.	game/script files/3_cobblercornerstore.rpy	114	"[what]"
orchardist_1941c9b6	a	"I'll take care of myself. You eat that cobbler, okay? And give me notes!"	game/script files/3_cobblercornerstore.rpy	116	a happy "[what]"
orchardist_a11903ed		(I should call her.)	game/script files/3_cobblercornerstore.rpy	126	"[what]"
orchardist_33fea3ba		I stare at the broken lightbulb in the dustbin.	game/script files/3_cobblercornerstore.rpy	128	"[what]"
orchardist_8eab9887		I dial the number I had saved to my contacts after Erin left the shop that day.	game/script files/3_cobblercornerstore.rpy	130	"[what]"
orchardist_807ec5e3		It rings once... twice...	game/script files/3_cobblercornerstore.rpy	132	"[what]"
orchardist_4e73dad3	e	"*click* Hello?"	game/script files/3_cobblercornerstore.rpy	134	e neutral "[what]"
orchardist_0eada0d3		(She answered!!)	game/script files/3_cobblercornerstore.rpy	136	"[what]"
orchardist_28d5528d		(What do I say?! I didn't think this through!)	game/script files/3_cobblercornerstore.rpy	138	"[what]"
cobbler_call_aya_54fea817	e	"The bookstore fox!"	game/script files/3_cobblercornerstore.rpy	152	e excited "[what]"
cobbler_call_aya_f90e55c4	a	"Fox {i}spirit{/i}, thank you."	game/script files/3_cobblercornerstore.rpy	154	a tsuntsun "[what]"
cobbler_call_aya_a2d83ece	e	"I'm so glad you called so I have your number, I saw this cat today and wanted so badly to send you a picture of it!"	game/script files/3_cobblercornerstore.rpy	156	e "[what]"
cobbler_call_aya_e8ca9170	a	"Oh, sure! I'd like that."	game/script files/3_cobblercornerstore.rpy	158	a happy "[what]"
cobbler_call_aya_4355a6a3	e	"One sec,"	game/script files/3_cobblercornerstore.rpy	160	e "[what]"
cobbler_call_aya_c3efa732		A faint rustle emits from the phone as Erin finds the photo and sends it to me.	game/script files/3_cobblercornerstore.rpy	162	"[what]"
cobbler_call_aya_10029665		*ding*	game/script files/3_cobblercornerstore.rpy	165	"[what]"
cobbler_call_aya_a8fef602		It's adorable. A little grey cat, barely more than a kitten, is napping in a milk carton lit by a perfect sunbeam.	game/script files/3_cobblercornerstore.rpy	167	"[what]"
cobbler_call_aya_5694f1c3	a	"This is so cute! Where did you take this?"	game/script files/3_cobblercornerstore.rpy	169	a excited "[what]"
cobbler_call_aya_a5a472da	e	"Trade secret, I'm afraid!"	game/script files/3_cobblercornerstore.rpy	172	e rizzler "[what]"
cobbler_call_aya_caa1b97f	a	"For what trade?"	game/script files/3_cobblercornerstore.rpy	174	a neutral "[what]"
cobbler_call_aya_b1a61d0b	e	"It's a secret I'll trade for a kiss!"	game/script files/3_cobblercornerstore.rpy	176	e "[what]"
cobbler_call_aya_daa04f3b	a	"A kiss, huh? Now, how will I do that if I don't know where you are?"	game/script files/3_cobblercornerstore.rpy	178	a blush "[what]"
cobbler_call_aya_94a6be2b		Erin giggles, the sound partly clipped by the phone's mic.	game/script files/3_cobblercornerstore.rpy	180	"[what]"
